TIPO,OBSERVACION
Libre,
Libre,
Libre,"Llevar zapatillas de caminata, gorra o sombrero, bloqueador. En caso de ingresar con mascotas, tienen que llevar correa y bolsas para el recojo de sus heces."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",*EL INGRESO AL MUELLE TIENE UNA TARIFA DE S/2.00 POR PERSONA *LOS PASEOS EN BOTE O PEDALONES TIENEN UN COSTO DE S/5.00 POR PERSONA
Libre,
,
Libre,
Libre,
,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo de ingreso: S/.2.00 y con guía S/25.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto S/ 3.00 -Niño S/ 1.00 - Extranjero S/. 10.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/ 6.00 - Niños de 5 a 11 años S/ 3.00 - Menores de 5 año no pagan ingreso.
,
,
Libre,
Semi-restringido(previo permiso),El ingreso es con previo permiso en el área de recepción al número de celular 965834759 con el administrador Oscar Fang.
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Niños: s/3.00 Adultos: s/5.00 Extranjeros: s/10.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Niños de 4 a 11 años: s/5.00 Personas de 12 a 64 años: s/10.00 Extranjeros: s/15.00
Libre,Lunes - Domingo
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Libre","Tarifa general: S/.8.00 - Especial: S/ 4.00, Estudiantes S/ 3.00, Escolares: S/.1.50#Primer domingo de cada mes, ingreso libre para los peruanos y residentes previa presentación de DNI Para menores de 18 años por todo el 2024"
,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general S/. 1.00
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Libre","General S/ 8.00 - Estudiantes universitaria o técnica S/ 4.00 - Adultos mayores de 60 años, personas en servicio militar voluntario y profesores 50% de descuento sobre el valor de la entrada de adulto#- Menores de edad, según R.M. N° 000092-2024-MC - 1er domingo de cada mes, 18 de Mayo (Dia Internacional de los Museos) y 19 de Setiembre (aniversario del Museo) - En 2024 personas con discapacidad."
Semi-restringido(previo permiso),"Previa autorización SERNAMP, Ing. Carolina Guevara Molina - cel 968218439"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",• Adultos: S/15.00 • Estudiantes / Universitarios: S/ 10.00 • Niños: S/3.00 (incluye taza de café) Capacidad para 30 personas.
Libre,
,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Costo de ingreso por un día. •Extranjero: s/. 30.00. •Nacional: Adultos s/. 15.00, Niños de 5 a 17 años: S/. 5.00 • Local: Adultos s/. 5.00 y, Niños de 5 a 17 años: S/. 3.00"
Libre,
Otros (especificar),"El acceso al recinto de la casa se encuentra restringido con la finalidad de preservar su valor cultural e histórico; afortunadamente, la arquitectura y diseño se pueden apreciar desde el exterior."
Semi-restringido(previo permiso),Previa coordinación al correo electrónico parroquiaquillazu@gmail.com
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa : s/. 3.00 adultos s/. 2.00 niños
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos S/. 7.00; universitarios y docentes S/. 5.00 y escolares S/. 2.00 La visita al museo forma parte del recorrido turístico del Monumento Arqueológico de Sechín, ya que ambos pueden ser apreciado"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/. 7.00; universitarios y docentes S/. 5.00 y escolares S/. 2.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","El costo para Adultos es de S/. 8.00 nuevos soles, estudiantes de nivel superior, docentes y jubilados S/.4.00 y niño escolar 1 nuevos soles."
Semi-restringido(previo permiso),"Ticket de ingreso: Adultos: 15.00 (quince nuevos soles), incluye visita turística guiada, coctel de bienvenida y degustación de vinos y piscos. Niños de 12 a 17 años de edad: 5.00 (cinco nuevos soles)"
Libre,
Libre,El ingreso libre es dentro del Ambiente Urbano Monumental
Semi-restringido(previo permiso),"El ingreso a la bodega es previa reservación, puede comunicarse al cel. 973 623747 o enviar un correo a: admi_hotel@ocucaje.com erosero@ocucaje.com"
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",El tour guiado dura aproximadamente 45 min a 1 hora (solo guiado en español) Tarifa normal: Adultos S/ 30.00 Niños S/ 10.00 Adultos mayores S/ 15.00 (65 años a más) Feriados: Adultos S/ 40.00 Niños
Libre,
,
Libre,Registrase en el punto de control.
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","El costo de Ingreso es: Adulto S/. 3.00 Soles, estudiantes con carnet 2.00 soles, jubilados 2.00 soles y escolares 1.00 sol."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto: 10 soles, niños: 5 soles"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Se paga una tasa aérea de 30 nuevos soles, el derecho al circuito aéreo cuesta 47 soles, el costo del sobrevuelo por packs fluctúa entre los 70 y 120 dólares."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa Nacional y Extranjero (Válido Por Un Día) • Adultos: S/. 11.00 • Menores: S/ 3.00 Tarifa Local – Región Ica (Válido Por un Día) • Adultos: S/. 5.00 • Menores: S/. 3.00
Libre,
Libre,No cuenta con monitoreo de ingreso de los visitantes
Libre,libre
Semi-restringido(previo permiso),El acceso turístico al exconvento actualmente es restringido. El edificio se encuentra en estado proceso de estudios para restauración.
Libre,
Libre,
Libre,Lunes-viernes de 11.00 am -12.00pm Sabados - domingos 7.00 am- 10.00 am y 7.00pm.
Libre,Libre
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tickets en el área de boletería: Adultos (S/ 8.00), medio nacional (S/ 3.00), niños (S/ 1.00), servicio de guiado (S/ 50.00). Ingreso libre: 1er domingo de cada mes, Aniversario del Museo, día Interna"
Libre,
Libre,"Llevar agua, gorro, bloqueador solar, lentes de sol, ropa y calzado adecuado de verano. Tomar en cuenta las indicaciones de Capitania de Pimentel, respecto a los niveles del oleaje."
,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Libre",- Extranjero: Adulto y niño S/ 30.00 - Nacional: Adulto S/ 11.00 y Niño () S/ 5.00 - Locales (residentes locales presentan DNI) Adulto S/ 5.00 Niño (*) S/ 3.00 (*)Menores entre 5 a 16 años#Para población nacional a menores de 5 años y mayores de 65 años.
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general S/. 2.00 y Pimenteleños: S/ 1.00
Libre,
Libre,Lunes - Domingo
Libre,
Libre,
Semi-restringido(previo permiso),coordinación con la Ofic. de Información de la QRM
,
,
,
,
,
,
,
,
,
,
Libre,
,
,
Libre,
Semi-restringido(previo permiso),"Previa coordinación con la Beneficencia Pública de Moquegua, la cual se ubica al costado de la Iglesia o llamar al (053) 461211"
Semi-restringido(previo permiso),Autorización otorgada por la familia Chocano.
Semi-restringido(previo permiso),Previa coordinación con uno de las propietarias Sra. Nora Centeno Falcon. Cel: 993590896.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",BAÑOS PRIVADOS: Residentes en la región s/2.00 L-V / Sab.Dom S/. 3.00 Nacionales: L-V s/4.00 / sáb.dom. s/6.00 Extranjeros: L-V s/10.00 /sáb.dom. s/ 20.00 Delegaciones Públicas: L-V 50%
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","5 solos adultos, niños 1 sol."
Libre,
Libre,
Semi-restringido(previo permiso),Previa coordinación con los agricultores
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Menores Locales(Moquegua)de 5a16 años S/. 3.00, Adultos Locales(Moquegua) y Menores Nacionales(5a16 años)S/5.00, Adultos Nacionales S/.11.00, Extranjeros S/. 30.00"
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: 5 nuevos soles. Niños: 3 nuevos soles
Libre,
Libre,Esta abierto todos los días de 6:00 a.m. a 9.00 p.m.
Libre,Firmar el libro de registro del visitante.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/. 5.00 soles. Menores de 7 años y adultos mayores es ingreso libre .
Libre,Horario variable según actividades litúrgicas
Libre,"Es una calle de libre tránsito, sin embargo, las galerías artesanales atienden de 9.00 am. hasta las 8.00 p.m."
Libre,"Se recomienda ingresar con guía. También llevar protector solar, lentes de sol, gorra, repelente y agua."
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,"Se recomienda llevar gorro, bloqueador solar, agua, lentes de sol."
Libre,
Semi-restringido(previo permiso),Es necesario solicitar autorización de ingreso a SERNANP. Dirección de la Oficina(Av. Los Cocos H-23 Urb. Grau - Piura - Piura - Piura - (073) 321668
Semi-restringido(previo permiso),Actualmente solo se realizan visitas de la fachada.
Libre,"Se recomienda, llevar bloqueador solar, lentes de sol, gorros y un snack como galleta y agua."
Libre,
Libre,En caso de emergencias coordinar con el Sacristan Rene Choque 969935083 / Párroco Carlos Miguel Mestanza Mainetto.
Libre,
Libre,
"Semi-restringido(previo permiso)#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","*Ingreso a Islas Uros Titino con agencias autorizadas. *Ingreso a islas Chimu. y a Islas Chimu con agencias autorizadas o previa coordinación con emprendedores.#*Para ingresar a las islas de Los Uros, se compra el boleto que emite la comunidad. S/ 8.00 extranjeros, S/ 5.00 nacionales"
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Al Lago Titicaca#A las Islas flotantes de los Uros S/. 8.00, Isla Taquile S/. 8.00, Isla Amantani S/. 8.00"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/. 5.00 Niños S/. 3.00
Libre,Previa coordinación con el párroco o con el guardián
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa general S/15.00 Tarifa estudiante S/5.00 Tarifa menores de edad S/2.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto Extranjero: S/. 6.00, Adulto Nacional: S/. 3.00, Niños: S/. 1.00"
Libre,Previa coordinación con el párroco Gregorio Remirez Jordán cel 924243275
Libre,
Libre,Acceso y circulación libre
Libre,Previa coordinación con el parroco.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/. 15.00 Estudiantes S/. 5.00 Niños S/. 2.00
Libre,Coordinación con el párroco; Cesar Ruelas Velarde
Libre,
Libre,
Libre,Previa coordinación con la parroquia
Semi-restringido(previo permiso),"Previa coordinación con el párroco, Juan José Huaraya Mamani cel. 964793574"
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Piscina S/ 5.00 adultos, S/1.50 niños S/8.00 visitantes, Pozas; S/.5.00 adultos, S/.5.00 visitantes, Duchas S/.2.00 adultos, S/.4.00 visitantes"
Libre,En coordinación con teniente gobernador de la comunidad cel. 907292911
Libre,Todos los días del año
Semi-restringido(previo permiso),Coordinar con el guardián del templo - Parroquia de Juli
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos S/ 15.00, estudiantes S/ 5.00, niños hasta los 17 años con entrada gratuita"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","adultos S/.15.00, estudiantes S/.5.00, niños hasta los 17 años gratuito"
Libre,"Previa coordinación con el párroco, o con el guardián"
Libre,
Semi-restringido(previo permiso),Previa coordinación con la Municipalidad distrital de Zepita
Libre,"Recomendable coordinar con la comunidad, por cuestiones de seguridad."
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Estudiantes S/1.00, Nacionales S/3.00, Extranjeros S/5.00"
Libre,
Libre,
Libre,El acceso es libre
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","S/15.00 adultos, S/5.00 estudiantes, S/2.00 niños y escolares, S/7.50 adulto mayor, población local gratuito con la presentación de DNI"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entradas adultos = S/ 5.00 niños = S/2.50
Libre,Previa coordinación con la comunidad de Tinajani
Libre,"Se debe coordinar con el Párroco, o con el vigilante."
Libre,
Libre,En coordinación con la comunidad por motivos de seguridad
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Niños S/1.00, adultos locales S/2.00, general S/4.00"
Libre,
Libre,Debe registrar su ingreso en el libro de registro de visitantes.
Libre,"El acceso al recurso es gratuito, ya que se encuentra ubicado en un espacio público. No existen restricciones de pago o boletería para la apreciación del bien mueble desde el área peatonal."
Semi-restringido(previo permiso),Debe anunciar en administración que ingresará al Museo y registrarse en el libro de visitantes.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa Única S/. 2.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Pozas Termales(Privadas/Multifamiliar)-Adultos-30 min S/.10.00 Pozas Termales (Privadas/Multifamiliar)-Niños (hasta 11 años)30 min S/.5.00 Piscina-Adultos-30 min-S/.10.00 Piscina Niños - 30 min-S/7.00
Libre,
Libre,Con equipo e indumentaria para montañismo y buena preparación física.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Precio general (adultos y niños) S/. 5.00 soles. Llevar ropa de baños, ropa abrigadora, agua para hidratarse."
Libre,
Semi-restringido(previo permiso),Previa coordinación con la empresa: SOUTHERN PERU COPPER CORPORATION
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa pozas privadas: S/.10 Tarifa de la Piscina Termal: S/.5.00
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entradas generales: 30.00 soles
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","S/. 5.00 adultos, S/2. Niños"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa general S/5.00
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",S/65.00 extranjeros y S/30.00 nacionales.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",S/ 65.00 extranjeros y S/ 30.00 nacionales.
,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa del PNH estadía: extranjeros S/60.00 y Nacionales S/30.00
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Parque Nacional Huascarán (Extranjeros s/.30.00 y Nacional s/.12.00)
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Extranjero S/.30.00 Nacional Adulto S/. 12.00 Niños (5 a 16 años )S/. 5.00 Nacionales (Menores de 5 años y Mayores de 65 años no pagan)
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Parque Nacional Huascarán (El costo de ingreso para visitantes extranjeros es de S/. 30.00, para nacionales S/. 12.00 y para locales S/. 5.00)."
Semi-restringido(previo permiso),Previo pago de ingreso al PNH S/.65.00 para 21 días de ingresos o permanencia al PNH
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa: Adultos S/.5.00 soles - Niños S/.3.00 soles
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos (Nacionales y Extranjeros) S/. 15.00, Estudiantes S/.5.00 y Niños S/.3.00 y S/.5.00."
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifa de Ingreso: Local S/. 5.00, Nacional y Extranjero S/. 8.00"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Nacional: S/ 11.00 Extranjero: S/ 30.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",General: S/ 3.00
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa: Adulto S/ 15.00 Niños hasta 12 años y adultos mayores de 60 años con DNI o pasaporte S/ 10.00
Libre,
Libre,Se ha colocado 1 puerta metálica a modo de protección
Libre#Semi-restringido(previo permiso),"Ruta a través de Selva Alegre#En el caso de la Ruta Norte, solicitar permisos a AUTODEMA con 48 hrs de anticipación, hay AAVV que ya cuentan con autorización, en el caso de Ruta Sur solicita permisos Asociación en el mismo sitio"
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo en general de S/10.00 (El boleto se compra en la recepción del Hotel de Turistas de Yura)
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","S/. 7.00 entrada general S/. 3.00 entrada estudiantes S/. 2.00 entrada menores de edad, 50% descuento según ley -Tarifa especial"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Turistas extranjeros es S/15.00 y nacionales S/10.00 soles, para las piscinas N°1 y N°5. Para la población local es: S/0.50; S/1.50 y S/2.50 soles (piscinas N°2, N°3 y N°4) y nacionales S/5.00 soles"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Esta incluido dentro del Boleto turístico del Colca, Extranjeros S/. 70.00; Nacionales S/. 20.00 y estudiantes S/. 5.00. Los residentes de Caylloma están exonerados.."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",- Extranjeros S/.70.00 - Sudamericano S/. 40.00 - Nacionales S/. 20.00 - Estudiantes S/. 5.00 - Adulto Mayor S/. 5.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Esta incluido dentro del Boleto turístico del Colca, Extranjeros S/. 70.00; Nacionales S/. 20.00 y estudiantes S/. 5.00. Los residentes de Caylloma están exonerados."
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Extranjeros S/ 30.00, nacionales S/15.00, locales - S/8.00. Tarifa Prom Región Arequipa S/.11.00 (<17 años S/.5.00, < 17 años Prov de Islay. S/.3.00) Exonerados <05 años y > de 65 años de edad."
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos. s/1.00 y Niños: s/. 0.50.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos s/.8.00; Estud.Univ. s/.4.00 y Niños menos de 17 años ingreso gratuito.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos 8.00; Estud.Universit. 4.00. Niños menos de 17 años gratuito.
Libre,
Semi-restringido(previo permiso),"Previa coordinación con personal DDC al 978273950, o al correo cajamarca@cultura.gob.pe"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: s/. 5.00 Estud.Universit.: s/. 2.00 Niños y adolecentes de 3años a 17 años : s/.1.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",adultos: S/.10.00 niños 5.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos:s/ 8.00; Estudiantes Univ.: s/. 4.00 Niños menores de 17 años, gratuito."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos s/. 10.00 Niños s/. 5.00 Estudiantes Zona Rural s/. 3.00
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Nacional y Extranjero: s/. 5.00 Loca: s/. 2.00 Niños: s/. 1.00
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: S/ 15.00 Universitarios S/ 7.00 Escolares: S/ 4.00 Datos actualizados a la fecha de la publicación de la presente ficha.
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",arifa: Adultos S/. 10; Universitarios: S/.5; Escolares 2; Extranjeros:12.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Otros (especificar)","Pozas: s/.9.00 y 10.00 soles Poza Exclusiva y familiar: 25.00 soles Piscinas: 7.00, 8.00 y 10.00 soles Hidromasajes y sauna: 20.00 soles Visitas: 6.00 soles Hospedaje Pultumarka: 60.00 y 90.00 soles#Hidromasajes y sauna : 20.00 soles, visitas: 2.00 soles"
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Ingreso general s/. 10.00
Libre,
Semi-restringido(previo permiso),Para ingresar a las instalaciones es previa coordinación con PEJEZA -Ing. Jesús Cumpa 957357414
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada Adulto S/5 Estudiante S/2 Escolar S/1
Libre,Solicitar permiso a la secretaria de la iglesia para poder ingresar fuera del horario de misa. Teléfono: 062-512455
Libre,Solicitar permiso a la secretaria de la Parroquia para poder ingresar fuera del horario de misa. Teléfono: 062-610452
Libre,"Solicitar permiso a la secretaria de la Iglesia, Srta. Margaret Espinoza Laos, para poder ingresar fuera del horario de misa."
Libre,Solicitar permiso a la secretaria de la Iglesia para poder ingresar fuera del horario de misa. Teléfono: 062 - 621956
Libre,
Semi-restringido(previo permiso),Previo permiso con la administración y es de libre costo
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Ticket expendido por el Ministerio de Cultura Adultos S/ 5.00, Estudiante superior S/ 2.00 , escolar 1.00"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Único pago para el ingreso a la laguna S/.5 soles, la boletería esta ubicado en la localidad de Yaurin ruta a las lagunas de Pichgacocha."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto nacional y extranjero S/. 5.00, Universitario S/. 2.00, Niños y Escolares S/. 1.00"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Expendido por el SERNANP, las tarifas varían de acuerdo a la procedencia del visitantes: Visitante Regional: S/. 5.00 soles Visitante Nacional: S/. 11.00 Visitante Internacional: S/. 30.00"
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Pago de 20 soles a la comunidad de Pacllón
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos S/. 4.00. Estudiantes, docentes con acreditación y adulto mayor con identificación Tarifa Especial S/. 2.00. Niños y adolescentes hasta los 17 años gratuito."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","El costo de ingreso: Adulto S/. 2.00 soles, Niño S/.1.00 sol."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Boleto: Adultos S/. 10.00, univeristario S/. 5.00 (previa presentación del carne), Estudiantes S/. 3.00. Niños de 4 a 9 años S/. 2.00. Consultas con Secretaría del Convento: Cel. 910134807"
